"","word","freq"
"cepet","cepet",91
"mencegah","mencegah",91
"rantai","rantai",90
"china","china",90
"melaksanakan","melaksanakan",90
"lockdown","lockdown",89
"hilang","hilang",88
"main","main",88
"kali","kali",88
"manusia","manusia",87
"masjid","masjid",86
"malaysia","malaysia",86
"sehat","sehat",86
"teman","teman",86
"polri","polri",85
"anggota","anggota",85
"mati","mati",85
"ekonomi","ekonomi",84
"kabupaten","kabupaten",84
"jawa","jawa",82
"pergi","pergi",82
"sosial","sosial",82
"membantu","membantu",81
"gitu","gitu",81
"tdk","tdk",81
"buka","buka",80
"bantu","bantu",79
"mata","mata",79
"ayo","ayo",79
"ditengah","ditengah",78
"emang","emang",78
"langkah","langkah",77
"berita","berita",77
"test","test",77
"memutus","memutus",76
"yuk","yuk",76
"dki","dki",75
"jokowi","jokowi",75
"negeri","negeri",75
"makan","makan",74
"ketemu","ketemu",74
"aamiin","aamiin",74
"online","online",74
"kama","kama",73
"sembako","sembako",73
"timur","timur",72
"deh","deh",71
"the","the",71
"bilang","bilang",71
"iya","iya",71
"tuh","tuh",71
"kangen","kangen",70
"pos","pos",69
"tangan","tangan",69
"relawan","relawan",69
"sea","sea",69
"gugus","gugus",68
"hati","hati",68
"senin","senin",67
"beambah","beambah",67
"situasi","situasi",67
"bener","bener",67
"upaya","upaya",66
"kasih","kasih",66
"presiden","presiden",66
"kematian","kematian",66
"kak","kak",66
"terima","terima",66
"yaa","yaa",65
"juta","juta",65
"tenaga","tenaga",65
"patroli","patroli",65
"negatif","negatif",64
"bhi","bhi",64
"uang","uang",64
"penyakit","penyakit",64
"mei","mei",63
"lakukan","lakukan",63
"malam","malam",63
"watu","watu",62
"kek","kek",62
"korban","korban",61
"tni","tni",60
"kondisi","kondisi",60
"menjaga","menjaga",60
"jam","jam",60
"rangka","rangka",60
"posko","posko",59
"mah","mah",59
"liat","liat",59
"hasil","hasil",59
"aman","aman",58
"polres","polres",58
"mengatasi","mengatasi",58
"peduli","peduli",58
"total","total",57
"coba","coba",56
"temen","temen",56
"vietnam","vietnam",56
"sdh","sdh",56
"mengurangi","mengurangi",55
"lebaran","lebaran",55
"giat","giat",55
"habis","habis",55
"semangat","semangat",54
"vaksin","vaksin",54
"dana","dana",54
"tubuh","tubuh",54
"sekolah","sekolah",54
"gimana","gimana",53
"kaya","kaya",53
"kepala","kepala",53
"menteri","menteri",53
"nonton","nonton",53
"jgn","jgn",52
"distancing","distancing",52
"tarawih","tarawih",52
"peama","peama",52
"nasi","nasi",52
"pakai","pakai",52
"terinfeksi","terinfeksi",52
"tangani","tangani",51
"skrg","skrg",51
"susah","susah",51
"pulih","pulih",51
"sumber","sumber",51
"dlm","dlm",51
"ketua","ketua",51
"kau","kau",51
"india","india",51
"tunggu","tunggu",50
"cek","cek",50
"merah","merah",50
"news","news",50
"bawa","bawa",50
"kebijakan","kebijakan",50
"baca","baca",49
"islam","islam",49
"and","and",49
"suka","suka",49
"tinggal","tinggal",48
"pasar","pasar",48
"gegara","gegara",48
"angka","angka",48
"nhi","nhi",48
"karantina","karantina",48
"bebas","bebas",48
"bumi","bumi",48
"rapid","rapid",48
"beres","beres",48
"ramadan","ramadan",48
"nak","nak",48
"video","video",48
"pusat","pusat",48
"sholat","sholat",47
"antisipasi","antisipasi",47
"informasi","informasi",47
"alhamdulillah","alhamdulillah",47
"menangani","menangani",47
"vya","vya",46
"bupati","bupati",46
"libur","libur",46
"duit","duit",46
"musim","musim",45
"kab","kab",45
"ntar","ntar",45
"program","program",45
"tutup","tutup",45
"serikali","serikali",44
"kuwa","kuwa",44
"bahaya","bahaya",44
"agama","agama",44
"provinsi","provinsi",44
"tolong","tolong",44
"lupa","lupa",44
"kec","kec",43
"perang","perang",43
"gaada","gaada",43
"normal","normal",43
"foto","foto",43
"rindu","rindu",43
"wib","wib",43
"trus","trus",43
"air","air",43
"terkena","terkena",43
"gejala","gejala",43
"penyekatan","penyekatan",42
"pandemik","pandemik",42
"barat","barat",42
"petugas","petugas",42
"bang","bang",42
"kayak","kayak",42
"bersih","bersih",42
"cuci","cuci",42
"bhabinkamtibmas","bhabinkamtibmas",42
"via","via",42
"gratis","gratis",42
"berbagi","berbagi",42
"pdp","pdp",42
"blm","blm",42
"tim","tim",41
"from","from",41
"sedih","sedih",41
"protokol","protokol",41
"raya","raya",41
"mas","mas",41
"mikir","mikir",40
"tetep","tetep",40
"obat","obat",40
"who","who",40
"pagi","pagi",40
"belajar","belajar",40
"menunaikan","menunaikan",40
"dinyatakan","dinyatakan",40
"koi","koi",40
"info","info",40
"efek","efek",40
"bali","bali",40
"amin","amin",40
"nggak","nggak",40
"kabar","kabar",39
"anggaran","anggaran",39
"teular","teular",39
"bangsa","bangsa",39
"waspada","waspada",39
"pesan","pesan",39
"konspirasi","konspirasi",39
"memantau","memantau",38
"khusus","khusus",38
"ama","ama",38
"muda","muda",38
"trs","trs",38
"paket","paket",38
"terpapar","terpapar",38
"turun","turun",38
"nasional","nasional",38
"saudara","saudara",38
"arus","arus",37
"muka","muka",37
"doang","doang",37
"tuhan","tuhan",37
"amerika","amerika",37
"terkini","terkini",37
"udahan","udahan",37
"bareng","bareng",37
"bukber","bukber",37
"wkwkwk","wkwkwk",37
"kemana","kemana",37
"phk","phk",37
"bandung","bandung",37
"aturan","aturan",37
"prov","prov",36
"sasa","sasa",36
"wagonjwa","wagonjwa",36
"pembatasan","pembatasan",36
"this","this",36
"what","what",36
"tanggal","tanggal",36
"juni","juni",36
"cina","cina",36
"harga","harga",35
"exit","exit",35
"cari","cari",35
"pola","pola",35
"pkp","pkp",35
"gada","gada",35
"serius","serius",35
"virusi","virusi",35
"kecamatan","kecamatan",35
"gubernur","gubernur",35
"pekerja","pekerja",35
"zona","zona",35
"ditutup","ditutup",35
"menghadapi","menghadapi",35
"ngga","ngga",35
"marhaban","marhaban",35
"after","after",35
"nahi","nahi",35
"odp","odp",35
"ngawi","ngawi",34
"anies","anies",34
"rame","rame",34
"gabisa","gabisa",34
"maling","maling",34
"nek","nek",34
"ikuti","ikuti",34
"kuat","kuat",34
"beribadah","beribadah",34
"putus","putus",34
"pergerakan","pergerakan",34
"darurat","darurat",34
"coronavirus","coronavirus",34
"menyerang","menyerang",33
"satgas","satgas",33
"bencana","bencana",33
"usaha","usaha",33
"pacar","pacar",33
"ramai","ramai",33
"korona","korona",33
"hii","hii",33
"budi","budi",33
"krna","krna",33
"dimana","dimana",33
"kesucian","kesucian",33
"sistem","sistem",33
"apd","apd",33
"bansos","bansos",33
"berhasil","berhasil",33
"berdoa","berdoa",33
"pangan","pangan",33
"toll","toll",32
"wajib","wajib",32
"ngapain","ngapain",32
"isolasi","isolasi",32
"jamu","jamu",32
"sepi","sepi",32
"iki","iki",32
"sesuai","sesuai",32
"tes","tes",32
"wuhan","wuhan",32
"disiplin","disiplin",32
"nunggu","nunggu",32
"semenjak","semenjak",32
"cha","cha",32
"anjing","anjing",32
"pandemic","pandemic",31
"kerjaan","kerjaan",31
"dasar","dasar",31
"grgr","grgr",31
"your","your",31
"muslim","muslim",31
"ahli","ahli",31
"karya","karya",31
"muncul","muncul",31
"perkembangan","perkembangan",31
"hukum","hukum",31
"list","list",31
"memiliki","memiliki",31
"surabaya","surabaya",31
"donasi","donasi",31
"kantor","kantor",30
"kila","kila",30
"kumpul","kumpul",30
"sisi","sisi",30
"mulu","mulu",30
"social","social",30
"gagal","gagal",30
"menjalankan","menjalankan",30
"sosialisasi","sosialisasi",30
"kebutuhan","kebutuhan",30
"you","you",30
"malang","malang",30
"jatim","jatim",30
"disinfektan","disinfektan",29
"zaidi","zaidi",29
"sayang","sayang",29
"sabar","sabar",29
"badan","badan",29
"sir","sir",29
"keselamatan","keselamatan",29
"terbaru","terbaru",29
"krisis","krisis",29
"dapet","dapet",29
"kpd","kpd",29
"stay","stay",29
"umat","umat",29
"aneh","aneh",29
"nyari","nyari",29
"dpt","dpt",29
"nchini","nchini",29
"bingung","bingung",29
"kuliah","kuliah",29
"twitter","twitter",29
"katika","katika",28
"happy","happy",28
"butuh","butuh",28
"masi","masi",28
"kar","kar",28
"hadapi","hadapi",28
"berjuang","berjuang",28
"tidur","tidur",28
"makanan","makanan",28
"mohon","mohon",28
"bosen","bosen",28
"time","time",28
"kya","kya",28
"loh","loh",28
"kwenye","kwenye",28
"pasca","pasca",28
"anti","anti",28
"perintah","perintah",28
"mudah","mudah",28
"papua","papua",28
"wes","wes",28
"nanya","nanya",28
"percaya","percaya",28
"lgi","lgi",28
"otak","otak",27
"utama","utama",27
"aceh","aceh",27
"masak","masak",27
"gila","gila",27
"pemeriksaan","pemeriksaan",27
"global","global",27
"maklumat","maklumat",27
"afya","afya",27
"chanyeol","chanyeol",27
"mai","mai",27
"kuch","kuch",27
"percepatan","percepatan",27
"cerita","cerita",27
"new","new",27
"maaf","maaf",27
"over","over",27
"top","top",27
"nikah","nikah",27
"bagikan","bagikan",27
"kawalan","kawalan",27
"yah","yah",27
"semarang","semarang",27
"persen","persen",27
"menyebar","menyebar",27
"baharu","baharu",27
"anjuran","anjuran",27
"doa","doa",27
"ribu","ribu",27
"diluar","diluar",26
"msh","msh",26
"trump","trump",26
"physical","physical",26
"lulus","lulus",26
"tema","tema",26
"gamau","gamau",26
"menjalani","menjalani",26
"indo","indo",26
"jalur","jalur",26
"ambil","ambil",26
"ajak","ajak",26
"dhidi","dhidi",26
"penuh","penuh",26
"berharap","berharap",26
"fokus","fokus",26
"home","home",26
"sahur","sahur",26
"perusahaan","perusahaan",26
"bisnis","bisnis",26
"kementerian","kementerian",26
"medan","medan",26
"alasan","alasan",26
"selatan","selatan",26
"kebal","kebal",26
"dll","dll",26
"baju","baju",26
"kesihatan","kesihatan",26
"membawa","membawa",26
"sektor","sektor",26
"hyung","hyung",25
"sederhana","sederhana",25
"mandiri","mandiri",25
"cpt","cpt",25
"batuk","batuk",25
"viral","viral",25
"tha","tha",25
"plis","plis",25
"mendukung","mendukung",25
"menghimbau","menghimbau",25
"kanit","kanit",25
"cuman","cuman",25
"kehilangan","kehilangan",25
"paham","paham",25
"nama","nama",25
"sibuk","sibuk",25
"mencapai","mencapai",25
"pgn","pgn",25
"wakati","wakati",25
"lihat","lihat",25
"hata","hata",25
"yaallah","yaallah",25
"royong","royong",25
"wabak","wabak",25
"halaman","halaman",25
"alat","alat",25
"tunda","tunda",25
"laki","laki",24
"ugonjwa","ugonjwa",24
"liburan","liburan",24
"meningkat","meningkat",24
"inggris","inggris",24
"ili","ili",24
"sebaran","sebaran",24
"jenazah","jenazah",24
"jualan","jualan",24
"film","film",24
"proses","proses",24
"kemarin","kemarin",24
"nambah","nambah",24
"kenya","kenya",24
"opm","opm",24
"larangan","larangan",24
"diem","diem",24
"aur","aur",24
"sblm","sblm",24
"rujukan","rujukan",24
"lancar","lancar",24
"depok","depok",24
"bar","bar",24
"korea","korea",24
"emg","emg",24
"tunai","tunai",24
"hoga","hoga",24
"isu","isu",24
"mbak","mbak",24
"mtu","mtu",24
"bank","bank",24
"transpoasi","transpoasi",24
"bayangin","bayangin",24
"karyawan","karyawan",24
"kim","kim",24
"penanggulangan","penanggulangan",24
"patuhi","patuhi",24
"kayaknya","kayaknya",24
"miskin","miskin",23
"marah","marah",23
"modi","modi",23
"tiada","tiada",23
"memutuskan","memutuskan",23
"rebahan","rebahan",23
"kuna","kuna",23
"dprd","dprd",23
"aktif","aktif",23
"besok","besok",23
"kudu","kudu",23
"log","log",23
"raha","raha",23
"ila","ila",23
"tetangga","tetangga",23
"tsb","tsb",23
"tenang","tenang",23
"membutuhkan","membutuhkan",23
"mein","mein",23
"barang","barang",23
"sahabat","sahabat",23
"warganya","warganya",23
"berai","berai",23
"aplikasi","aplikasi",23
"dilarang","dilarang",23
"bahagia","bahagia",23
"plasma","plasma",23
"jogja","jogja",23
"pemprov","pemprov",22
"tpi","tpi",22
"mungu","mungu",22
"angkatan","angkatan",22
"polisi","polisi",22
"dinas","dinas",22
"minum","minum",22
"mending","mending",22
"kapolri","kapolri",22
"gatau","gatau",22
"tukang","tukang",22
"kkn","kkn",22
"maana","maana",22
"pajak","pajak",22
"wewe","wewe",22
"utara","utara",22
"huhu","huhu",22
"dikit","dikit",22
"mahasiswa","mahasiswa",22
"hindari","hindari",22
"mengajak","mengajak",22
"aktivitas","aktivitas",22
"hell","hell",22
"asli","asli",22
"maambukizi","maambukizi",22
"bogor","bogor",22
"huu","huu",22
"nyawa","nyawa",22
"peraturan","peraturan",22
"strategi","strategi",22
"jujur","jujur",22
"prediksi","prediksi",22
"tahan","tahan",22
"kebersihan","kebersihan",22
"bergerak","bergerak",22
"daya","daya",22
"ganti","ganti",22
"laporan","laporan",22
"lekas","lekas",22
"sulit","sulit",22
"jdi","jdi",22
"kelas","kelas",21
"tips","tips",21
"kapolsek","kapolsek",21
"beban","beban",21
"juli","juli",21
"kediri","kediri",21
"gmn","gmn",21
"pembagian","pembagian",21
"gelar","gelar",21
"ilmu","ilmu",21
"hua","hua",21
"berkah","berkah",21
"beras","beras",21
"kelaparan","kelaparan",21
"tanzania","tanzania",21
"lindungi","lindungi",21
"hotel","hotel",21
"kehidupan","kehidupan",21
"bahan","bahan",21
"simak","simak",21
"ikutan","ikutan",21
"bahas","bahas",21
"link","link",21
"shalat","shalat",21
"sop","sop",21
"laut","laut",21
"pemda","pemda",21
"disaat","disaat",21
"cases","cases",21
"karo","karo",21
"pejabat","pejabat",21
"panik","panik",21
"klik","klik",21
"beahan","beahan",21
"lbh","lbh",21
"kasian","kasian",21
"min","min",21
"potensi","potensi",21
"sek","sek",21
"satunya","satunya",21
"terimakasih","terimakasih",20
"pelaksanaan","pelaksanaan",20
"kano","kano",20
"ujian","ujian",20
"testing","testing",20
"but","but",20
"gates","gates",20
"bekasi","bekasi",20
"dpr","dpr",20
"berpotensi","berpotensi",20
"membatasi","membatasi",20
"capek","capek",20
"berjamaah","berjamaah",20
"siku","siku",20
"sma","sma",20
"dikasih","dikasih",20
"kendaraan","kendaraan",20
"nomor","nomor",20
"jambi","jambi",20
"bentuk","bentuk",20
"ulang","ulang",20
"guys","guys",20
"for","for",20
"berbahaya","berbahaya",20
"risiko","risiko",20
"layanan","layanan",20
"swab","swab",20
"nchi","nchi",20
"melanda","melanda",20
"sio","sio",20
"jabar","jabar",20
"penyemprotan","penyemprotan",20
"sebulan","sebulan",20
"maju","maju",20
"down","down",20
"beda","beda",20
"penambahan","penambahan",20
"berjalan","berjalan",20
"gaya","gaya",20
"udara","udara",20
"apapun","apapun",20
"puskesmas","puskesmas",20
"stok","stok",20
"sambang","sambang",20
"menerapkan","menerapkan",20
"uda","uda",20
"mobil","mobil",20
"survey","survey",20
"aiptu","aiptu",20
"ngomong","ngomong",20
"akun","akun",20
"babinsa","babinsa",20
"ketupat","ketupat",20
"ora","ora",20
"ngei","ngei",20
"ngajak","ngajak",20
"kawan","kawan",20
"surat","surat",19
"bill","bill",19
"kritik","kritik",19
"mandi","mandi",19
"kakak","kakak",19
"teh","teh",19
"please","please",19
"pingsan","pingsan",19
"lagu","lagu",19
"rha","rha",19
"politik","politik",19
"padang","padang",19
"musnah","musnah",19
"menunggu","menunggu",19
"pokoknya","pokoknya",19
"survei","survei",19
"budayakan","budayakan",19
"calo","calo",19
"rekrutmen","rekrutmen",19
"suap","suap",19
"terjangkit","terjangkit",19
"spt","spt",19
"lampung","lampung",19
"pintu","pintu",19
"industri","industri",19
"nongkrong","nongkrong",19
"positive","positive",19
"smpe","smpe",19
"tahadhari","tahadhari",19
"membunuh","membunuh",19
"sabun","sabun",19
"wfh","wfh",19
"tanggap","tanggap",19
"kontak","kontak",19
"aksi","aksi",19
"ratusan","ratusan",19
"bagus","bagus",19
"enak","enak",19
"pusing","pusing",19
"darah","darah",19
"untung","untung",19
"parah","parah",19
"penduduk","penduduk",19
"dawa","dawa",19
"disease","disease",19
"penggunaan","penggunaan",19
"mengikuti","mengikuti",19
"motor","motor",19
"suruh","suruh",19
"otg","otg",19
"siang","siang",19
"diduga","diduga",19
"menhub","menhub",19
"melindungi","melindungi",19
"berbeda","berbeda",19
"infeksi","infeksi",19
"rutin","rutin",19
"hoax","hoax",19
"kerajaan","kerajaan",19
"dri","dri",19
"berhenti","berhenti",19
"beemu","beemu",19
"menurun","menurun",19
"menang","menang",19
"wenye","wenye",19
"cinta","cinta",19
"kelurahan","kelurahan",19
"italia","italia",19
"status","status",19
"barakoa","barakoa",18
"kadrun","kadrun",18
"memakai","memakai",18
"tua","tua",18
"janga","janga",18
"wala","wala",18
"rambut","rambut",18
"taarifa","taarifa",18
"alias","alias",18
"perawat","perawat",18
"polda","polda",18
"sri","sri",18
"publik","publik",18
"demam","demam",18
"rhe","rhe",18
"salurkan","salurkan",18
"sanitizer","sanitizer",18
"kaga","kaga",18
"khawatir","khawatir",18
"maen","maen",18
"pen","pen",18
"live","live",18
"non","non",18
"pemain","pemain",18
"lock","lock",18
"sehari","sehari",18
"lucu","lucu",18
"kamtibmas","kamtibmas",18
"wali","wali",18
"iso","iso",18
"dianggap","dianggap",18
"giliran","giliran",18
"dirawat","dirawat",18
"bpk","bpk",18
"klaten","klaten",18
"gotong","gotong",18
"tindakan","tindakan",18
"ham","ham",18
"operasi","operasi",18
"harian","harian",18
"yaaa","yaaa",18
"paru","paru",18
"terhindar","terhindar",18
"point","point",18
"sadar","sadar",18
"ventilator","ventilator",18
"berkurang","berkurang",17
"kyk","kyk",17
"ndio","ndio",17
"hakuna","hakuna",17
"edukasi","edukasi",17
"disuruh","disuruh",17
"kujikinga","kujikinga",17
"miliar","miliar",17
"selengkapnya","selengkapnya",17
"istri","istri",17
"sumpah","sumpah",17
"bola","bola",17
"sabtu","sabtu",17
"yeh","yeh",17
"halo","halo",17
"berbuka","berbuka",17
"pengawasan","pengawasan",17
"pcr","pcr",17
"ttg","ttg",17
"day","day",17
"peran","peran",17
"hujan","hujan",17
"tanah","tanah",17
"harapan","harapan",17
"liga","liga",17
"hrs","hrs",17
"jamaah","jamaah",17
"belom","belom",17
"idul","idul",17
"terpaksa","terpaksa",17
"pekerjaan","pekerjaan",17
"band","band",17
"contoh","contoh",17
"beneran","beneran",17
"harap","harap",17
"kecuali","kecuali",17
"rentan","rentan",17
"order","order",17
"koramil","koramil",17
"skrng","skrng",17
"terbaik","terbaik",17
"perangi","perangi",17
"zaman","zaman",17
"menerima","menerima",17
"arah","arah",17
"diam","diam",17
"hehe","hehe",17
"wae","wae",17
"gerakan","gerakan",17
"stop","stop",17
"swt","swt",17
"kemaren","kemaren",17
"hahaha","hahaha",17
"baat","baat",17
"menular","menular",17
"full","full",17
"personil","personil",17
"hain","hain",17
"bripka","bripka",17
"imbas","imbas",17
"awam","awam",16
"jalanan","jalanan",16
"kirim","kirim",16
"bodoh","bodoh",16
"cabang","cabang",16
"perempuan","perempuan",16
"doi","doi",16
"membagikan","membagikan",16
"mengharuskan","mengharuskan",16
"tercinta","tercinta",16
"kerumunan","kerumunan",16
"suara","suara",16
"kayanya","kayanya",16
"korupsi","korupsi",16
"ndo","ndo",16
"vifo","vifo",16
"yake","yake",16
"lokasi","lokasi",16
"terkonfirmasi","terkonfirmasi",16
"berdasarkan","berdasarkan",16
"pejuang","pejuang",16
"maret","maret",16
"bintang","bintang",16
"meningkatkan","meningkatkan",16
"suci","suci",16
"goblok","goblok",16
"muter","muter",16
"uji","uji",16
"pribadi","pribadi",16
"ambulans","ambulans",16
"hivyo","hivyo",16
"eropa","eropa",16
"wisma","wisma",16
"moja","moja",16
"ditiadakan","ditiadakan",16
"ehh","ehh",16
"hiyo","hiyo",16
"fitri","fitri",16
"pro","pro",16
"akal","akal",16
"daftar","daftar",16
"mikirin","mikirin",16
"tanda","tanda",16
"baada","baada",16
"salam","salam",16
"nai","nai",16
"beliau","beliau",16
"pelajar","pelajar",16
"sukses","sukses",16
"jong","jong",16
"massal","massal",16
"hospital","hospital",16
"napi","napi",16
"berpuasa","berpuasa",16
"ribuan","ribuan",16
"alam","alam",16
"solusi","solusi",16
"garda","garda",16
"terdepan","terdepan",16
"efektif","efektif",16
"jual","jual",16
"impor","impor",16
"imun","imun",16
"mengalami","mengalami",16
"produk","produk",16
"bismillah","bismillah",16
"jangkitan","jangkitan",16
"sobat","sobat",16
"menyebarkan","menyebarkan",16
"konser","konser",16
"asn","asn",16
"pimpinan","pimpinan",15
"neng","neng",15
"bnyk","bnyk",15
"penjara","penjara",15
"ditunda","ditunda",15
"jaman","jaman",15
"kiya","kiya",15
"kucing","kucing",15
"sumsel","sumsel",15
"one","one",15
"men","men",15
"pia","pia",15
"inget","inget",15
"knp","knp",15
"anjir","anjir",15
"perbatasan","perbatasan",15
"hikmah","hikmah",15
"kazi","kazi",15
"bungkus","bungkus",15
"petani","petani",15
"bus","bus",15
"pelayanan","pelayanan",15
"jumat","jumat",15
"cepatlah","cepatlah",15
"seneng","seneng",15
"itna","itna",15
"wkwkw","wkwkw",15
"komunis","komunis",15
"kekayaan","kekayaan",15
"belanja","belanja",15
"hand","hand",15
"melayani","melayani",15
"luhut","luhut",15
"bro","bro",15
"suasana","suasana",15
"staf","staf",15
"gabungan","gabungan",15
"ngasih","ngasih",15
"atlet","atlet",15
"atasi","atasi",15
"idadi","idadi",15
"kufanya","kufanya",15
"kadang","kadang",15
"duduk","duduk",15
"lengkap","lengkap",15
"pembangunan","pembangunan",15
"diprediksi","diprediksi",15
"bayar","bayar",15
"ayah","ayah",15
"bhai","bhai",15
"flu","flu",15
"jajan","jajan",15
"silahkan","silahkan",15
"dapur","dapur",15
"seminggu","seminggu",15
"berani","berani",15
"hebat","hebat",15
"buruh","buruh",15
"mereda","mereda",15
"unit","unit",15
"dukung","dukung",15
"kelompok","kelompok",15
"pabrik","pabrik",15
"panas","panas",15
"ngopi","ngopi",15
"sbg","sbg",15
"mengeluarkan","mengeluarkan",15
"kel","kel",15
"pulkam","pulkam",15
"bln","bln",15
"jiwa","jiwa",15
"dadi","dadi",15
"gambar","gambar",15
"penumpang","penumpang",15
"usia","usia",15
"perkara","perkara",15
"guru","guru",15
"wis","wis",15
"perekonomian","perekonomian",15
"taun","taun",15
"leo","leo",15
"mall","mall",15
"mengambil","mengambil",15
"memerangi","memerangi",15
"bersyukur","bersyukur",15
"hasilnya","hasilnya",15
"drpd","drpd",15
"sayangi","sayangi",15
"kejadian","kejadian",15
"menghindari","menghindari",15
"pegawai","pegawai",15
"biru","biru",15
"nga","nga",14
"kebaikan","kebaikan",14
"dibandingkan","dibandingkan",14
"maksudnya","maksudnya",14
"pilih","pilih",14
"produksi","produksi",14
"hota","hota",14
"diy","diy",14
"setuju","setuju",14
"pengusaha","pengusaha",14
"perhubungan","perhubungan",14
"rapat","rapat",14
"bandara","bandara",14
"kat","kat",14
"sore","sore",14
"lepas","lepas",14
"rencana","rencana",14
"teinggi","teinggi",14
"peringatan","peringatan",14
"jkt","jkt",14
"keknya","keknya",14
"mama","mama",14
"nnti","nnti",14
"diskusi","diskusi",14
"insyaallah","insyaallah",14
"menghentikan","menghentikan",14
"titik","titik",14
"sungguh","sungguh",14
"follow","follow",14
"pariwisata","pariwisata",14
"pademi","pademi",14
"berskala","berskala",14
"musibah","musibah",14
"stress","stress",14
"aktifitas","aktifitas",14
"tembus","tembus",14
"kemanusiaan","kemanusiaan",14
"teori","teori",14
"kesadaran","kesadaran",14
"pikiran","pikiran",14
"bermanfaat","bermanfaat",14
"pdhl","pdhl",14
"berkeliaran","berkeliaran",14
"penerapan","penerapan",14
"liye","liye",14
"mengantisipasi","mengantisipasi",14
"kipindi","kipindi",14
"kutoka","kutoka",14
"terapkan","terapkan",14
"bukti","bukti",14
"acara","acara",14
"mudahan","mudahan",14
"tgl","tgl",14
"pemimpin","pemimpin",14
"berkumpul","berkumpul",14
"mulut","mulut",14
"kkm","kkm",14
"haha","haha",14
"pacaran","pacaran",14
"lokal","lokal",14
"mencari","mencari",14
"engga","engga",14
"kit","kit",14
"calon","calon",14
"mental","mental",14
"arahan","arahan",14
"rantaian","rantaian",14
"penerbangan","penerbangan",14
"pesawat","pesawat",14
"spread","spread",14
"ala","ala",14
"pesakit","pesakit",14
"pikir","pikir",14
"namanya","namanya",14
"tum","tum",14
"dear","dear",14
"wao","wao",14
"kabur","kabur",14
"internasional","internasional",14
"rezeki","rezeki",14
"nasib","nasib",14
"sidang","sidang",14
"biaya","biaya",14
"hadiah","hadiah",14
"kwamba","kwamba",14
"lingkungan","lingkungan",14
"singapura","singapura",13
"dilaksanakan","dilaksanakan",13
"sia","sia",13
"asia","asia",13
"resmi","resmi",13
"beujuan","beujuan",13
"mantan","mantan",13
"lintas","lintas",13
"kuchukua","kuchukua",13
"wizara","wizara",13
"mesti","mesti",13
"fix","fix",13
"tingkat","tingkat",13
"can","can",13
"nyumbani","nyumbani",13
"are","are",13
"habari","habari",13
"watanzania","watanzania",13
"kapolres","kapolres",13
"gaboleh","gaboleh",13
"isinya","isinya",13
"besea","besea",13
"batu","batu",13
"kaum","kaum",13
"berau","berau",13
"ngeliat","ngeliat",13
"arab","arab",13
"bado","bado",13
"peanian","peanian",13
"logo","logo",13
"din","din",13
"fake","fake",13
"kon","kon",13
"intelektual","intelektual",13
"andai","andai",13
"walikota","walikota",13
"kesana","kesana",13
"bangsat","bangsat",13
"mencuci","mencuci",13
"hak","hak",13
"berkembang","berkembang",13
